"بصرة",187293
"بغداد",173657
"كوفة",158428
"المدينه",131375
"مصر",65989
"دمشق",54425
"نيسابور",43123
"مكة",37688
"أصبهان",23323
"واسط",17686
"مرو",15774
"حمص",14429
"صنعاء",13376
"الري",7911
"قرطبة",6806
"حران",5439
"بغلان",4302
"هراة",4140
"الرقة",3067
"جرجان",2921
"الموصل",2542
"بخارى",2503
"حلب",1878
"طوس",1323
