x,y
208,6.426982093406533
237,5.929573886488644
241,4.977596861117566
230,6.473270790182772
233,5.766492464596948
224,6.155708974480367
241,6.360846662701856
220,6.0718190219440995
224,5.759811580903657
101,2.9597932875937802
122,4.715756890031454
128,3.6921403703781777
120,3.1721663391841624
153,4.733451338464068
116,4.402447709280841
112,4.352785960866334
61,5.113234548635527
52,3.90562549271814
130,3.014287477385504
122,4.174530023883735
205,5.332769093296527
199,5.096528900467188
177,4.870835292716575
97,3.3033579334696475
-22,2.597594344049832
24,1.7990880743339717
38,2.5305713259896345
41,1.2834763022568798
44,3.230170739963693
47,2.6399500515821397
249,6.359411832939646
239,5.960675072977992
257,6.092369097334126
250,6.968740121945069
228,6.397914450646768
267,6.26090812947101
302,6.558829631617943
322,8.096077780831306
307,7.2645887364741455
318,6.59930504308249
291,6.146673445885204
313,7.063937622093155
299,6.213518984335025
219,6.456241220857098
242,5.62185922087863
259,5.895026072130582
246,6.110212369067234
299,7.1016216778843795
307,6.765867886943456
280,7.706261883570429
234,7.0902047603097795
244,6.965536418608667
267,6.4584686420860224
262,5.611071501632506
266,5.459317543339052
277,7.098435347966877
243,6.478349779844068
248,5.484823139564975
174,5.652245212479622
289,6.72367025358445
263,7.24474797841732
244,5.915978757273321
257,5.091030740250763
268,6.8446819095561064
256,5.522859891925625
208,4.720650144017998
275,5.90916353529647
246,6.99245960893766
282,6.775080375279995
258,5.995414840505896
279,7.2921134095053475
262,5.3024222784960875
267,6.013499070892124
270,5.459452135859003
280,6.771100604458936
271,6.7083652716020925
270,7.1197184279915025
276,6.027695153353719
255,7.11917231144711
233,6.410979742413993
239,6.230959907544838
214,6.086912125225393
288,7.121344261538253
312,6.163751235817176
324,6.7754491928400675
319,6.374143489538074
315,7.619562304385845
317,7.918684199185018
293,5.949171105476715
255,6.602022369451628
263,5.926518882582792
245,5.577239146760304
232,5.877136242463399
228,6.70185179854894
240,6.710764419927813
293,6.221180637174978
233,5.68458151602113
301,7.351325584843207
276,7.177343569365052
275,6.890385997858079
127,3.3678943088938205
86,3.085524138912593
77,2.3477948416011567
72,1.7911418336504834
73,2.1985244806931394
72,3.3288890698238416
126,4.099030180701914
184,5.847897860866457
208,5.440979333442492
203,5.143807070967991
207,6.183314722320414
96,3.678370709161273
90,2.615367857076293
72,2.6275883878483417
60,3.070809236899066
94,2.8833365165937606
104,3.1706315838952124
151,3.5398085384573292
193,5.791888376639102
198,6.048302736140055
87,3.0349247682481035
149,4.4822897648658255
143,4.276935235466868
190,5.681122285152409
179,5.7270717461757235
154,5.212177631688279
233,5.107272130298058
241,6.577401141016402
265,7.000404523823635
236,4.890013675897823
162,5.427988338467861
274,6.593507108921832
157,4.142522761577347
178,5.273358295905381
239,5.2584737222358875
130,3.4169104837331035
249,6.347844444441746
288,7.410654601698504
263,5.396918088842935
252,5.906580651242858
275,6.843250569272231
249,5.550535881526741
244,5.755418845254674
277,7.137235088839866
249,6.6060422306016395
213,6.452296089097796
158,5.480368790229004
158,3.832775043630195
80,2.66244823140004
285,6.975484009424464
265,5.502818853880438
159,4.223105735206343
145,3.91668668781963
252,5.611426221578675
245,6.058030982091658
81,2.826697720709326
125,4.3062882774739535
111,4.206459923694442
90,4.070327217912696
159,4.650743753737705
151,5.44032716637862
164,5.447452961223936
167,5.12988894455096
199,5.111909228698492
179,4.889808355985042
178,4.006903426391272
172,4.197507031650047
183,4.007782547473883
191,4.39693206687414
181,4.376875241609483
179,5.03036941330083
292,7.431267494005265
246,4.775400432980993
153,4.179818958012728
230,5.744505661499847
279,7.001517443833761
72,3.6644715283724842
62,2.389933701758949
282,5.538162084982877
259,6.357028545451753
201,5.670663556555738
256,6.670684680668447
301,7.156163199173514
219,4.739966470526232
284,6.752791974232409
274,7.29924698088953
290,7.682361138001123
290,6.974543706823262
282,6.372983887282082
226,4.88242741847038
245,5.26591665191736
102,3.8929852382794436
119,4.4966421964856345
37,1.2203872839818461
61,1.804226702290089
20,1.039786654545621
231,6.701641706399289
221,5.351336517715808
98,4.206644384496093
314,8.19730676742395
332,7.27454500030419
114,3.63061156384586
101,3.367141431179017
115,4.1941326814889965
110,3.645071419438511
110,3.2636351517997544
103,2.7847010347466097
80,3.7698196360968965
92,4.394924488425037
149,4.035087103851771
173,4.106579325832854
159,5.370155987935245
139,4.201966037475657
92,4.138947174396904
121,3.3891916714258272
69,2.3924105847148414
69,3.4511162582844
123,3.4581285151482817
198,4.805089752484488
210,5.753146059937584
215,4.947566342192471
263,5.528292274702389
259,6.222209808838989
250,5.93818602151585
142,3.489750657111269
209,4.977273455939132
208,5.865906092020152
189,5.946168109532293
210,5.309098573933012
212,4.856800809922458
187,5.6126539786919025
176,5.922142040985122
221,5.396627610621643
224,6.131674146159289
214,6.023238959999724
200,5.813569243638437
176,4.477693503158791
203,5.27343598405095
47,2.5046820752040144
235,5.078423804327023
186,4.767676911992414
135,3.087682054501438
53,2.0236450479543326
44,1.807653366111004
141,5.322580750195661
179,4.010515279779256
51,2.669896086687302
51,3.1362179960484218
123,3.842486518902239
183,4.84891566152807
80,2.808818213991688
87,3.789836605762044
208,5.210056337735175
153,4.441806070072454
251,6.643683619377562
1,1.9024436097473272
204,4.998782978780242
261,5.696455359630571
33,1.210758910700166
230,5.505530162156448
187,5.0425124259926175
60,3.0615945521370658
240,6.06761513009867
79,3.2002285309038996
113,3.7179887105255807
183,5.9111660598375915
50,3.1752317260176
193,5.409124110306346
265,6.051734050509119
262,5.330634533069897
-17,1.614545095546894
250,5.8265872347113525
270,5.704660234219141
290,6.12833981883618
65,2.4756999896946708
141,3.7236320997206267
291,6.746406957925274
317,8.009673579897175
156,5.169854267770782
227,4.9988071681183115
37,1.8405937161514503
188,4.633184520130683
175,4.636560801889026
191,4.848478323781441
261,7.126420101418551
187,5.334022447949895
191,5.119512241434478
264,5.8028862299145745
235,5.694235401086935
291,6.885663284533159
287,6.92867117718535
287,7.212522157386678
284,6.486903093236
262,6.873801504119842
249,6.331813370819138
255,7.072134241709328
240,5.886867697669555
259,6.651729704744842
241,6.9149439693000865
145,4.320804599776885
132,3.718244831653817
170,4.223858928569435
250,6.51206355564949
20,1.8088773658732453
243,5.4831243831387
267,6.366838532633471
106,2.988381986290343
13,3.13586662523136
285,6.7603018885565
291,5.533837523433513
279,5.6775385100157605
292,6.365456572493593
214,6.370595324001124
217,6.359613658074904
223,5.505003787548734
233,5.565332403869757
219,5.8473256650413035
252,5.865197706606667
240,4.925268787715499
180,4.999900757746983
18,0.9675372393497139
45,1.9755192775354455
256,6.593399480266199
277,6.80576755663005
169,3.7056932401756186
-17,1.4227040442182277
211,5.3287389491364525
19,1.9118692126209185
229,6.399254816930623
0,2.953034891093781
274,6.293583858863536
-22,1.6028003274249536
81,3.0830476371910334
275,7.03704953949727
90,3.974516348881151
273,5.901522392297307
292,5.922062111717871
294,6.449713444390305
59,2.7005248973412534
267,6.4282969526593305
65,3.247606796214919
304,7.871595526502299
313,6.9743501911071855
155,4.170427640048846
92,3.7941313633376375
295,7.401954874520702
288,5.494735310217161
265,6.508919029191577
257,5.4606505998472645
123,4.574109675939599
51,1.981072970839647
289,6.02284667580268
299,6.818291570829119
163,4.020466081871099
35,3.0094770142691476
279,6.719005401568204
275,6.732230669021806
232,5.600358074396432
290,6.646700712950951
315,6.907534433870685
275,6.331690341146272
270,6.756765616631862
291,7.047451368240011
308,6.331636124975782
290,6.923392207622212
247,6.251739038203503
255,6.252068072175819
174,4.634771837302399
289,7.505193992985551
291,5.831427009810035
280,7.614783845956762
97,3.0133565683749586
283,7.189340305620096
102,5.261310912387636
210,5.3275448689243445
255,6.69694031394917
246,6.522727530721702
245,5.92867489634042
30,2.062092212078584
23,1.332041064705332
45,2.1378939290421366
120,3.4673143478532866
291,7.292378055700814
229,5.834455589795023
233,5.5719107122726825
279,6.872272947138141
258,6.98143038504386
236,6.782242796805278
241,5.562676430328567
283,5.803483414440299
253,5.460010337881346
271,6.650460423305086
286,7.317172923671448
245,6.9783534672793675
292,7.821104431822385
292,5.92867348585346
280,5.890472344335077
391,7.809674402931469
379,8.965530144141765
395,8.463532633093138
535,11.054567774405259
292,6.5634157305628475
351,8.033995058502818
667,11.92149966006208
632,11.921966856676617
327,7.417200329162577
374,7.764213898705416
424,9.001035369897695
451,10.058374823159866
492,8.814331988027801
518,8.983188062033964
325,6.858757649671717
325,8.26694804198825
331,8.002228108028708
326,7.405929190546282
313,7.327312271410125
322,7.902362287002822
372,7.866913431540841
483,10.174818277175582
445,9.959050682554132
440,8.49280206105874
308,7.434570377749471
324,6.5982489598953205
385,8.2295257768739
373,8.489698949589059
376,7.900987835856759
359,8.659236465465224
404,9.246353221163519
476,10.359806693091219
372,7.2497747458423785
360,6.828486475288214
340,6.663739457882587
335,6.318299786578681
353,8.689293686713174
323,6.5361937987334615
305,7.720384612657211
312,7.235121437880064
