x,y
152,4.338279363549154
112,4.280393759087666
139,4.070298479124385
86,3.2939933473193674
163,3.985765841305202
60,1.9826246533574285
187,4.443508570680282
208,5.004122361063434
90,3.343144271027612
86,3.950140307685202
73,3.1632502011650327
28,2.0977654422165055
207,4.824760007255618
246,6.805761765427891
215,6.369942948490628
251,7.111487581976196
268,6.94894745940425
239,6.879641253358312
242,5.76964139255684
177,5.78038619777263
160,3.7138871871046666
70,3.7108782018877586
77,3.6097967904565498
84,2.849109071712777
203,4.92637753706871
47,3.061746796752756
179,4.1022528387660255
92,3.140281995728469
75,3.3465451709183514
111,2.5893165210448927
70,1.887050055579906
92,4.1789233644384876
78,1.7827484887474045
33,2.467194294976033
86,2.967132790059565
73,3.3679273196957276
73,3.4632444166423237
78,2.6453154099587817
19,1.018250859039281
59,2.04652088899394
92,3.0226443082047045
110,3.5946032977900426
99,2.6110215361251345
137,3.7102579177078456
149,3.8568820117213267
163,5.420577579270821
109,4.049818926355682
159,5.272407929181226
189,5.6676345590773485
170,5.4805813113266115
71,3.7060171219983227
205,6.26337490936408
166,3.5184729585020555
209,5.1835912174158505
197,5.774841259371545
153,4.595541053027781
271,5.576020213556806
211,6.54045943793661
212,5.686288980362531
150,4.020684650756012
119,3.916484124197151
230,5.47931170609772
66,2.3784900917261154
80,2.9746797177452056
29,2.472533567732284
-22,2.396785617661697
82,3.1366242377420432
69,3.187636651114247
61,3.091641520190031
101,2.8280893073298836
282,6.730723159383154
128,4.631049080504826
146,4.608175054383252
90,3.6554977983943693
210,6.265783938166868
86,2.1294912228065397
92,2.8876159906970758
110,4.523108653768409
129,4.604564543153549
120,3.226735347483963
194,5.248596097810065
208,5.112147439357466
212,5.205729787174979
112,4.259536528517559
40,1.9625286775614526
91,3.4981897082505022
101,3.189333238076227
287,5.9915213049761995
216,5.6133421857075
73,3.3034478904990325
181,3.9345206552763625
83,3.6669814567947436
256,6.409532665502894
110,4.319027184510912
23,1.8059505519303798
108,3.17084996688902
115,3.624089194220572
172,4.188440418041369
14,2.1609463618332696
130,3.6887061822884335
97,3.1030217451284794
19,2.0746473211737
-8,2.1725741568020025
2,1.2231169279208038
33,2.80556767810888
-5,1.2649262089545807
-8,1.075195200552442
83,2.930329879214093
177,4.923466292939876
307,7.079891753013335
23,2.2001426412208636
64,1.8533245923841863
133,2.709676651002587
10,1.191671156518392
59,3.3052853894920706
-18,1.4015410085407476
7,2.1967251409578665
112,4.38847837440427
144,3.2503594892273844
175,5.188564650464773
100,3.9545888388519113
301,7.496965367365585
125,3.133768208401695
414,7.081433153336988
352,7.620308230371142
408,8.269244966162928
582,10.980989120286203
375,8.347518072873743
359,6.2601963899794395
438,9.332843280983615
363,8.220577494841082
400,8.287255965058511
451,8.973016065870812
423,8.777725590099559
327,8.741910546904919
425,7.670881852831882
348,7.763974935442877
409,8.936090084159753
301,7.298636413241264
83,2.990938239168269
460,8.368780051742661
433,9.626562619364709
432,8.620360172442615
18,1.2850416452631914
569,10.914187181271064
762,12.073546124523551
279,6.866919322460667
731,13.144686245048813
502,9.673695495903589
535,9.472710481225878
605,11.02098210204378
679,12.327857605808083
617,10.904092424224846
650,10.42811650929885
630,10.665043384076744
828,12.985638777484246
750,13.289236910186675
540,10.30062423711448
735,10.965785504913391
769,12.209784525090903
803,13.399033206216519
739,12.281280886342287
725,12.615966612725035
616,11.334465978564182
654,12.477146717319455
729,13.603719846936546
787,14.842414291571055
-37,2.197154844679523
-27,2.639783480885405
-26,0.9747979393656616
-25,2.7058213593468987
