x,y
142,3.5519894001862955
148,4.049182707765802
161,4.983368281554335
192,5.152169702967187
137,4.044504780925708
183,5.9660188683358
117,3.2462428187836663
203,5.872340974027383
181,5.9125995443032755
153,4.7277519463239175
220,4.628033219168704
185,3.9675317013247304
267,7.224064614902205
204,4.426325337814134
267,6.958989649250624
284,6.520360905467926
216,6.235342667855739
252,6.424960513684326
241,6.96532252790295
231,6.809198270544886
204,5.004752779475289
221,4.878426914699649
143,4.288945966397511
170,5.297388950712031
105,3.5343786763966336
84,3.946175915545555
100,3.3460283471068233
88,4.13743606566064
82,3.454388088011487
80,2.6644614415514676
100,4.075735183083667
156,3.955209572590433
225,5.875325352098273
202,4.691317623579728
195,5.066924110530026
157,4.314642720575597
108,3.062252119897347
242,5.1540580280469275
211,5.810964822483971
275,6.462114723845829
213,5.221238694935607
206,5.07917283429658
204,5.16485019532364
218,5.863597059510468
215,4.524660542710542
197,5.355143899387645
146,4.703558568707624
150,5.56508614787725
232,5.224775773029294
140,6.155938545071575
215,5.021415504196879
211,5.017757511622623
231,5.160709009131425
213,5.305747053996245
91,3.7210043294780473
120,4.595564816639813
157,5.220935380394854
333,6.675463771168215
157,4.633789264566639
96,3.6438004970337676
113,2.7933031358165956
200,4.6675705865718395
206,5.450946526972013
159,5.253505464835385
165,4.1527192043674415
194,5.488719530646878
135,3.8418184168842067
260,6.843415043875149
183,6.146338664831684
140,4.664802765223175
107,4.700413116432632
198,5.846734303753406
260,5.7752090998259025
191,5.73077129782014
185,6.845972054631898
296,7.402543426875779
141,4.587923947826171
390,9.069306486556773
398,7.647582964476796
401,8.327687087263474
356,8.298972329238417
581,10.020212792443477
302,6.069909148683051
665,10.866323496325727
377,7.061755714949262
547,10.281435256094976
400,8.294450490410767
329,5.162872671206658
316,6.289158570797904
532,9.680598176898483
426,9.331603952696277
476,9.054529603870769
490,10.40143587420447
577,11.650065261150031
453,8.911556411933626
