"بصرة"
"بغداد"
"كوفة"
"المدينه"
"مصر"
"دمشق"
"نيسابور"
"مكة"
"أصبهان"
"واسط"
"مرو"
"حمص"
"صنعاء"
"الري"
"قرطبة"
"حران"
"بغلان"
"هراة"
"الرقة"
"جرجان"
"الموصل"
"بخارى"
"حلب"
"طوس"
