7229,"خراسان","Rule 1"
8369,"خراسان","Rule 1"
8618,"شام","Rule 1"
1259,"شام","Rule 1"
31063,"شام","Rule 1"
2445,"اليمن","Rule 1"
1306,"شام","Rule 1"
18884,"شام","Rule 1"
46913,"خراسان","Rule 1"
3447,"شام","Rule 1"
1488,"شام","Rule 1"
4711,"شام","Rule 1"
7015,"شام","Rule 1"
2227,"شام","Rule 1"
2200,"خراسان","Rule 1"
5143,"خراسان","Rule 1"
3159,"شام","Rule 1"
9954,"خراسان","Rule 1"
29085,"العراق","Rule 1"
1762,"شام","Rule 1"
2140,"شام","Rule 1"
8222,"شام","Rule 1"
8491,"العراق","Rule 1"
8491,"شام","Rule 1"
3636,"اليمن","Rule 1"
1601,"شام","Rule 1"
7231,"شام","Rule 1"
7743,"اليمن","Rule 1"
8064,"شام","Rule 1"
2094,"العراق","Rule 1"
3061,"العراق","Rule 1"
1686,"شام","Rule 1"
8242,"شام","Rule 1"
1732,"شام","Rule 1"
8394,"شام","Rule 1"
3978,"شام","Rule 1"
5019,"شام","Rule 1"
5651,"شام","Rule 1"
1955,"خراسان","Rule 1"
8321,"العراق","Rule 1"
33431,"خراسان","Rule 1"
4231,"شام","Rule 1"
7306,"شام","Rule 1"
18572,"شام","Rule 1"
34029,"شام","Rule 1"
1845,"شام","Rule 1"
2182,"شام","Rule 1"
32861,"خراسان","Rule 1"
7580,"شام","Rule 1"
1959,"شام","Rule 1"
8619,"خراسان","Rule 1"
1986,"شام","Rule 1"
2967,"شام","Rule 1"
2055,"شام","Rule 1"
6198,"شام","Rule 1"
7958,"شام","Rule 1"
23416,"شام","Rule 1"
13104,"شام","Rule 1"
2321,"شام","Rule 1"
8207,"شام","Rule 1"
2113,"شام","Rule 1"
6238,"شام","Rule 1"
6951,"شام","Rule 1"
2496,"العراق","Rule 1"
2211,"شام","Rule 1"
2267,"شام","Rule 1"
7888,"خراسان","Rule 1"
3344,"شام","Rule 1"
4742,"شام","Rule 1"
15492,"العراق","Rule 1"
7262,"شام","Rule 1"
9983,"الديلم","Rule 1"
11463,"خراسان","Rule 1"
2645,"شام","Rule 1"
4638,"شام","Rule 1"
2695,"شام","Rule 1"
12173,"شام","Rule 1"
5723,"شام","Rule 1"
2947,"شام","Rule 1"
23872,"شام","Rule 1"
22904,"شام","Rule 1"
27323,"خراسان","Rule 1"
8611,"شام","Rule 1"
31701,"خراسان","Rule 1"
18585,"خراسان","Rule 1"
31065,"اليمن","Rule 1"
3774,"شام","Rule 1"
3477,"العراق","Rule 1"
10432,"العراق","Rule 1"
10432,"شام","Rule 1"
3611,"شام","Rule 1"
