40712,"{{بغداد, 1.}}"
9,"{{بصرة, 1.}}"
130,"{{كوفة, 1.}}"
515,"{{حمص, 0.7794117647058824}, {دمشق, 0.22058823529411764}}"
788,"{{بلخ, 0.13580246913580246}, {كوفة, 0.3127572016460905}, {حمص, 0.34979423868312753}, {دمشق, 0.20164609053497945}}"
833,"{{هراة, 0.1262548732943469}, {نيسابور, 0.35395955165691995}, {بغداد, 0.1972222222222221}, {مرو, 0.13210282651072117}, {مكة, 0.19046052631578936}}"
870,"{{المدينه, 0.9999999999999999}}"
871,"{{المصيصة, 0.39410348977135984}, {كوفة, 0.6058965102286402}}"
1003,"{{بصرة, 0.39826046074283017}, {كوفة, 0.16976962858486144}, {بغداد, 0.4319699106723081}}"
1050,"{{بغداد, 0.35664335664335683}, {كوفة, 0.26964212258329906}, {حمص, 0.37371452077334455}}"
1223,"{{بصرة, 1.}}"
1272,"{{كوفة, 1.}}"
1394,"{{بصرة, 0.7244897959183673}, {الرقة, 0.2755102040816326}}"
1401,"{{بصرة, 0.9999999999999999}}"
1512,"{{دمشق, 0.6285714285714287}, {حضرموت, 0.37142857142857144}}"
1570,"{{بصرة, 1.}}"
1617,"{{غافق, 0.18055555555555558}, {مصر, 0.6388888888888888}, {القيروان, 0.18055555555555558}}"
1734,"{{كوفة, 1.}}"
1826,"{{بصرة, 1.}}"
2119,"{{بصرة, 0.7239155920281359}, {مصر, 0.276084407971864}}"
2151,"{{بصرة, 1.}}"
2426,"{{بغداد, 0.3689655172413793}, {كوفة, 0.6310344827586207}}"
2491,"{{بصرة, 0.9999999999999999}}"
2492,"{{بصرة, 0.9999999999999999}}"
2663,"{{واسط, 1.}}"
2776,"{{بصرة, 0.6675126903553299}, {بغداد, 0.33248730964467005}}"
2980,"{{كوفة, 1.}}"
3041,"{{بصرة, 0.2517754868270332}, {الحجاز, 0.04765177548682702}, {مكة, 0.0739404352806415}, {مرو, 0.044043528064146596}, {بغداد, 0.12600229095074453}, {كوفة, 0.08235967926689579}, {واسط, 0.04490263459335622}, {دمشق, 0.27394043528064144}, {حمص, 0.05538373424971361}}"
3306,"{{بصرة, 0.46799999999999997}, {دمشق, 0.532}}"
3349,"{{بصرة, 1.}}"
3436,"{{كوفة, 1.}}"
3443,"{{كوفة, 0.2392760069187046}, {مكة, 0.4087225105016051}, {دمشق, 0.15128714872969873}, {حمص, 0.10192398409596364}, {حلب, 0.09879034975402684}}"
3601,"{{بصرة, 1.}}"
3749,"{{بصرة, 1.}}"
3792,"{{بخارى, 0.03988475885957903}, {كوفة, 0.5893601785238469}, {مكة, 0.044381161737276895}, {واسط, 0.13483379962696496}, {مرو, 0.06161737276845194}, {نيسابور, 0.03403943511857183}, {هراة, 0.03666233679722892}, {طوس, 0.030577204902744497}, {بغلان, 0.02864375166533442}}"
3861,"{{بصرة, 0.8558823529411764}, {المرية, 0.14411764705882352}}"
4008,"{{كوفة, 0.7692307692307693}, {الجعفر, 0.23076923076923078}}"
4140,"{{بصرة, 0.4532085561497326}, {بغداد, 0.5467914438502673}}"
4144,"{{بصرة, 0.6056338028169014}, {مكة, 0.3943661971830986}}"
4327,"{{بغداد, 0.4438775510204081}, {دمشق, 0.5561224489795918}}"
4476,"{{كوفة, 1.}}"
