"المدينه",0.08778242194141135,"المدينه",192.56666666666666
"مكة",0.06504868823864107,"المدينه",595.0833333333334
"المدينه",0.056802698025669965,"المدينه",901.9142857142856
"مصر",0.05793747309526261,"المدينه",1212.9813304342713
"كوفة",0.04411540857326617,"بصرة",1767.3395884172587
"كوفة",0.042592563199579256,"بصرة",2570.1810122577185
"بغداد",0.04157357187062191,"كوفة",4151.409872006461
"بغداد",0.046603463488980194,"بغداد",4248.0181332549
"بغداد",0.04789791157009864,"بغداد",5816.337140860762
"بغداد",0.046410154689299994,"بغداد",6749.237429514118
"بغداد",0.06860998898997936,"بغداد",9006.634875925296
"بغداد",0.06536069091447264,"بغداد",8021.817057493825
"بغداد",0.0639190731992139,"بغداد",6961.390843979138
"بغداد",0.062234225280774456,"بغداد",4431.103517479253
"دمشق",0.0744024561676562,"بغداد",3401.9484659131717
"بغداد",0.06800582325207752,"بغداد",2772.139611695494
"بغداد",0.08425987843687338,"بغداد",1651.0575036075036
"بغداد",0.064690132510778,"بغداد",1270.9475274725273
"بغداد",0.08168422787977381,"بغداد",1226.0107142857144
"دمشق",0.06912154904384755,"مصر",689.4499999999999
"بغداد",0.06040494565843474,"بغداد",173.07142857142856
"دمشق",0.06596204178143888,"دمشق",197.28333333333333
"دمشق",0.1289309545260564,"دمشق",159.
"دمشق",0.1968523392595481,"مصر",34.
"حلب",0.12609170421674548,"مصر",22.
"حلب",0.18361825931166606,"دمشق",9.
"مكة",0.14034925743838222,"دمشق",9.
"دمشق",0.2361489629483886,"دمشق",4.
"دمشق",0.6491228070175439,"حلب",0.
