"{DirectedEdge[بغداد, بغداد], 9271.242730587026}","{DirectedEdge[بصرة, بغداد], 2206.0854629822647}","{DirectedEdge[كوفة, بغداد], 1993.0502955739069}","{DirectedEdge[نيسابور, نيسابور], 1825.8620277733212}","{DirectedEdge[بصرة, بصرة], 1582.352922869209}","{DirectedEdge[مصر, مصر], 1089.84197004609}","{DirectedEdge[بصرة, نيسابور], 1086.816897577438}","{DirectedEdge[بغداد, الموصل], 1056.8891842284402}","{DirectedEdge[دمشق, دمشق], 1025.5379002059312}","{DirectedEdge[بغداد, بصرة], 922.4391655003366}"
"{DirectedEdge[بغداد, بغداد], 10419.940281664129}","{DirectedEdge[نيسابور, نيسابور], 2537.0273500227945}","{DirectedEdge[دمشق, دمشق], 1488.4404652947321}","{DirectedEdge[بغداد, أصبهان], 1458.095692523007}","{DirectedEdge[دمشق, أصبهان], 1327.5055825707418}","{DirectedEdge[مصر, أصبهان], 1179.5695355365626}","{DirectedEdge[بغداد, نيسابور], 1097.417807022356}","{DirectedEdge[مصر, بغداد], 1061.7860589259233}","{DirectedEdge[أصبهان, أصبهان], 1020.2916490829339}","{DirectedEdge[مصر, نيسابور], 941.8153385009841}"
"{DirectedEdge[بغداد, بغداد], 8253.406263020865}","{DirectedEdge[نيسابور, نيسابور], 1026.7908896165195}","{DirectedEdge[فربر, هراة], 863.8965517241379}","{DirectedEdge[الموصل, نيسابور], 763.4211629176259}","{DirectedEdge[أصبهان, أصبهان], 756.0748216143026}","{DirectedEdge[قرطبة, قرطبة], 602.690357369452}","{DirectedEdge[بغداد, أصبهان], 587.3335233675037}","{DirectedEdge[بصرة, أصبهان], 538.7362581773782}","{DirectedEdge[بغداد, نيسابور], 509.2062122608703}","{DirectedEdge[دمشق, أصبهان], 476.6584056960026}"
"{DirectedEdge[بغداد, بغداد], 3991.168459489054}","{DirectedEdge[دمشق, دمشق], 1952.3418832033178}","{DirectedEdge[بغداد, نيسابور], 831.9394666216692}","{DirectedEdge[قرطبة, قرطبة], 760.9211891300916}","{DirectedEdge[نيسابور, نيسابور], 738.8280191356761}","{DirectedEdge[مصر, مصر], 691.8262529518454}","{DirectedEdge[أصبهان, نيسابور], 439.0607667811072}","{DirectedEdge[أصبهان, بغداد], 378.3272292024455}","{DirectedEdge[الري, بغداد], 276.9971191472193}","{DirectedEdge[أصبهان, أصبهان], 250.37973460923283}"
"{DirectedEdge[بغداد, بغداد], 1891.6014106502141}","{DirectedEdge[دمشق, دمشق], 789.4785582855206}","{DirectedEdge[نيسابور, نيسابور], 642.0433470671476}","{DirectedEdge[أصبهان, أصبهان], 499.020218238474}","{DirectedEdge[بغداد, نيسابور], 377.08380539402873}","{DirectedEdge[شيراز, بغداد], 366.09897752504895}","{DirectedEdge[جرجان, جرجان], 260.92419731913964}","{DirectedEdge[بغداد, دار*القطن], 216.8868446021766}","{DirectedEdge[أصبهان, نيسابور], 208.54462769717722}","{DirectedEdge[بغداد, دمشق], 151.13770489316352}"
"{DirectedEdge[بغداد, بغداد], 2590.4377030490177}","{DirectedEdge[دمشق, دمشق], 1558.0601024112907}","{DirectedEdge[نيسابور, نيسابور], 674.0441270826835}","{DirectedEdge[دمشق, بغداد], 303.0405327300965}","{DirectedEdge[قرطبة, قرطبة], 287.02275991479803}","{DirectedEdge[دمشق, كران], 279.71150128047327}","{DirectedEdge[بغداد, نيسابور], 251.64942123606173}","{DirectedEdge[هراة, هراة], 220.79473927029375}","{DirectedEdge[بغداد, دمشق], 199.85661964887305}","{DirectedEdge[دمشق, صيدا], 172.23842435363818}"
"{DirectedEdge[بغداد, بغداد], 1311.2178353379052}","{DirectedEdge[دمشق, دمشق], 680.5988650216822}","{DirectedEdge[مصر, مصر], 239.41590982223374}","{DirectedEdge[قزوين, قزوين], 79.23611111111104}","{DirectedEdge[مصر, دمشق], 68.75505011560426}","{DirectedEdge[دينور, أصبهان], 58.61298850574729}","{DirectedEdge[أصبهان, أصبهان], 56.186217815821024}","{DirectedEdge[نيسابور, نيسابور], 54.97168266785696}","{DirectedEdge[بغداد, دمشق], 37.29703005826912}","{DirectedEdge[هراة, هراة], 34.2575646474273}"
"{DirectedEdge[بغداد, بغداد], 284.01496981887055}","{DirectedEdge[دمشق, دمشق], 121.00745932980453}","{DirectedEdge[أصبهان, أصبهان], 87.08292791231314}","{DirectedEdge[نيسابور, نيسابور], 80.26393656228304}","{DirectedEdge[نيسابور, أصبهان], 49.82951365116091}","{DirectedEdge[مصر, مصر], 31.1705524508039}","{DirectedEdge[مصر, أصبهان], 27.000000000000004}","{DirectedEdge[بغداد, دمشق], 24.354467361652436}","{DirectedEdge[دمشق, بغداد], 23.545626087134846}","{DirectedEdge[بغداد, مصر], 19.57078634517571}"
"{DirectedEdge[دمشق, دمشق], 228.00769723213037}","{DirectedEdge[بغداد, بغداد], 214.13889682507036}","{DirectedEdge[مصر, مصر], 103.94679103282819}","{DirectedEdge[بغداد, دمشق], 28.0883265129558}","{DirectedEdge[كفر*سوسية, دمشق], 28.000000000000043}","{DirectedEdge[هراة, مكة], 21.998587061087076}","{DirectedEdge[بلخ, هراة], 15.752610120257753}","{DirectedEdge[أصبهان, أصبهان], 15.186493098241513}","{DirectedEdge[الري, بغداد], 14.423293028574871}","{DirectedEdge[نيسابور, نيسابور], 14.082946997962457}"
"{DirectedEdge[أصبهان, أصبهان], 392.5012535762593}","{DirectedEdge[بغداد, بغداد], 43.68403903316248}","{DirectedEdge[مصر, مصر], 42.03215969456596}","{DirectedEdge[أصبهان, دمشق], 38.59222455254824}","{DirectedEdge[مصر, دمشق], 36.67800030481705}","{DirectedEdge[دمشق, دمشق], 31.84352723883434}","{DirectedEdge[بغداد, دمشق], 22.053167841722985}","{DirectedEdge[أصبهان, حلب], 18.92734115029434}","{DirectedEdge[مصر, بغداد], 18.30826921280472}","{DirectedEdge[بغداد, الإسكندرية], 17.92070224561465}"
"{DirectedEdge[أصبهان, أصبهان], 330.42612870567143}","{DirectedEdge[مصر, دمشق], 79.43798102361826}","{DirectedEdge[دمشق, دمشق], 53.619755192395274}","{DirectedEdge[بغداد, بغداد], 51.37254068856547}","{DirectedEdge[مصر, بغداد], 36.57862409650192}","{DirectedEdge[بغداد, دمشق], 33.66080123266657}","{DirectedEdge[مصر, مصر], 18.67981250650214}","{DirectedEdge[الإسكندرية, الإسكندرية], 16.505809868658712}","{DirectedEdge[نيسابور, نيسابور], 13.824657798341992}","{DirectedEdge[بغداد, مصر], 10.731930980073395}"
"{DirectedEdge[دمشق, دمشق], 40.86180568167685}","{DirectedEdge[الإسكندرية, الإسكندرية], 30.116757292574317}","{DirectedEdge[بغداد, بغداد], 18.931550904954698}","{DirectedEdge[مصر, مصر], 14.487737559489773}","{DirectedEdge[مصر, مكة], 11.275716729243852}","{DirectedEdge[مصر, الإسكندرية], 9.510967130708224}","{DirectedEdge[نيسابور, دمشق], 8.807254739073286}","{DirectedEdge[أصبهان, دمشق], 7.675089299603251}","{DirectedEdge[بغداد, دمشق], 6.474504591552069}","{DirectedEdge[الإسكندرية, القاهرة], 5.925138992933545}"
"{DirectedEdge[دمشق, دمشق], 26.499865869571046}","{DirectedEdge[بغداد, القاهرة], 12.504789684180956}","{DirectedEdge[بغداد, مصر], 11.507280880710812}","{DirectedEdge[مصر, دمشق], 10.707819599558434}","{DirectedEdge[بغداد, دمشق], 10.179526581810148}","{DirectedEdge[مصر, القاهرة], 7.615384615384614}","{DirectedEdge[مصر, مصر], 7.577906227758019}","{DirectedEdge[بغداد, بغداد], 4.815419501133785}","{DirectedEdge[الإسكندرية, الإسكندرية], 2.915384615384615}","{DirectedEdge[نيسابور, نيسابور], 2.3863636363636354}"
"{DirectedEdge[الإسكندرية, الإسكندرية], 3.}","{DirectedEdge[دمشق, دمشق], 2.925498642919885}","{DirectedEdge[بغداد, بغداد], 2.8888888888888893}","{DirectedEdge[دمشق, القاهرة], 1.7739620849909739}","{DirectedEdge[مصر, مصر], 1.6917317909634195}","{DirectedEdge[مصر, دمشق], 1.5853567247670495}","{DirectedEdge[مكة, مكة], 1.446153846153846}","{DirectedEdge[دمشق, مصر], 1.1395534290271132}","{DirectedEdge[مرو, القاهرة], 0.5875190258751903}","{DirectedEdge[واسط, دمشق], 0.5321637426900583}"
"{DirectedEdge[دمشق, دمشق], 4.923524291319071}","{DirectedEdge[القاهرة, القاهرة], 2.391402714932126}","{DirectedEdge[مصر, مصر], 1.211789070589844}","{DirectedEdge[دمشق, القاهرة], 1.1173783393242323}","{DirectedEdge[بغداد, بغداد], 1.1111111111111107}","{DirectedEdge[دمشق, بعلبك], 1.}","{DirectedEdge[مكة, مكة], 0.5538461538461539}","{DirectedEdge[الإسكندرية, القاهرة], 0.48124859364452344}","{DirectedEdge[مصر, دمشق], 0.47356630824372764}","{DirectedEdge[الإسكندرية, دمشق], 0.4359576968272618}"
"{DirectedEdge[دمشق, دمشق], 6.46592159756236}","{DirectedEdge[مصر, مصر], 2.}","{DirectedEdge[دمشق, القاهرة], 1.5833333333333335}","{DirectedEdge[القاهرة, القاهرة], 1.2239819004524888}","{DirectedEdge[بغداد, دمشق], 0.9999999999999999}","{DirectedEdge[حلب, حلب], 0.9999999999999998}","{DirectedEdge[المزة, دمشق], 0.5}","{DirectedEdge[دمشق, الإسكندرية], 0.28827400538438536}","{DirectedEdge[مصر, القاهرة], 0.26785714285714285}","{DirectedEdge[مصر, مكة], 0.2046783625730994}"
"{DirectedEdge[دمشق, دمشق], 5.471937916506777}","{DirectedEdge[القاهرة, القاهرة], 1.3489010989010974}","{DirectedEdge[دمشق, مصر], 1.3191176470588237}","{DirectedEdge[بغداد, الصالحية], 1.}","{DirectedEdge[بغداد, دمشق], 1.}","{DirectedEdge[حلب, حلب], 1.}","{DirectedEdge[دمشق, القاهرة], 0.7230576441102763}","{DirectedEdge[القاهرة, دمشق], 0.4999999999999999}","{DirectedEdge[حمص, مكة], 0.11904761904761901}","{DirectedEdge[القاهرة, المدينه], 0.07142857142857145}"
